Source_modularity;Target_modularity
nature;nature
nature;nature
nature;fauna
nature;text
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;fauna
nature;human
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;fauna
nature;fauna
nature;fauna
nature;fauna
nature;nature
nature;nature
nature;nature
nature;nature
nature;human
nature;human
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;human
nature;human
nature;human
nature;urban
nature;nature
nature;urban
nature;urban
nature;nature
nature;nature
nature;nature
nature;nature
nature;human
nature;human
nature;nature
nature;nature
nature;nature
nature;fauna
nature;human
nature;nature
nature;nature
nature;nature
nature;nature
nature;human
nature;human
nature;nature
nature;nature
nature;human
nature;text
nature;nature
nature;fauna
nature;human
nature;human
nature;nature
nature;fauna
nature;nature
nature;human
nature;nature
human;human
human;human
human;human
human;human
human;human
human;human
human;human
human;human
human;text
human;human
human;human
human;human
human;human
human;human
human;human
human;human
human;urban
human;human
human;human
human;human
human;human
human;human
human;human
human;human
human;human
human;human
human;human
text;text
text;blank
text;text
text;text
text;human
text;text
text;text
text;text
text;human
text;text
flora;flora
flora;flora
flora;flora
flora;flora
text;text
text;human
text;nature
text;fauna
text;flora
text;text
text;fauna
text;text
text;fauna
text;nature
text;text
text;text
text;fauna
text;nature
text;nature
text;text
text;text
text;text
text;nature
human;human
human;human
human;human
human;human
human;human
human;human
human;human
human;human
human;human
human;human
human;nature
nature;nature
nature;nature
nature;human
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;human
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;blank
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;blank
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
text;text
text;human
text;urban
text;nature
text;text
text;nature
text;nature
text;urban
text;text
text;fauna
text;fauna
text;blank
text;human
text;urban
text;urban
text;fauna
text;urban
text;nature
text;human
text;text
text;human
text;food
text;urban
text;text
text;text
text;urban
text;nature
text;human
text;text
text;text
text;blank
text;human
text;fauna
text;urban
text;fauna
text;text
text;text
text;text
text;text
text;blank
text;text
text;nature
text;nature
text;urban
text;urban
text;human
text;blank
text;fauna
text;human
text;fauna
text;urban
text;urban
text;urban
text;nature
text;urban
text;text
text;text
text;nature
text;human
text;fauna
text;text
text;nature
text;fauna
text;human
text;flora
text;text
text;text
text;text
text;text
text;human
text;text
text;urban
text;food
text;human
text;urban
text;nature
text;human
text;text
text;text
text;nature
text;human
text;food
text;urban
text;human
text;text
text;text
text;urban
text;nature
text;urban
text;urban
text;urban
text;nature
text;nature
text;text
text;text
text;fauna
text;fauna
text;text
text;urban
text;urban
text;text
text;text
text;human
text;text
text;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;urban
nature;urban
nature;urban
nature;nature
nature;fauna
nature;nature
nature;nature
nature;nature
nature;urban
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;urban
nature;urban
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;blank
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;blank
nature;nature
nature;nature
nature;urban
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;urban
nature;urban
nature;urban
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;human
nature;nature
nature;nature
nature;text
nature;nature
nature;nature
nature;urban
nature;nature
nature;urban
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;urban
nature;nature
nature;blank
nature;blank
nature;blank
nature;urban
nature;urban
nature;nature
nature;urban
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
fauna;fauna
fauna;fauna
fauna;fauna
fauna;fauna
fauna;fauna
fauna;fauna
fauna;fauna
fauna;fauna
fauna;nature
fauna;nature
fauna;fauna
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;urban
nature;urban
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;blank
nature;nature
nature;urban
nature;nature
nature;nature
nature;urban
nature;nature
nature;nature
nature;urban
nature;urban
nature;nature
nature;nature
nature;blank
nature;nature
nature;food
nature;nature
nature;nature
nature;human
nature;human
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;urban
nature;nature
nature;nature
nature;nature
nature;urban
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
fauna;fauna
fauna;fauna
fauna;fauna
fauna;fauna
fauna;fauna
fauna;fauna
fauna;fauna
flora;flora
flora;flora
flora;flora
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;blank
nature;nature
nature;nature
nature;text
nature;food
nature;nature
nature;nature
nature;nature
nature;nature
nature;flora
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;flora
nature;nature
nature;food
nature;nature
nature;urban
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;flora
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;human
nature;text
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;blank
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;urban
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;fauna
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
human;human
human;text
human;human
human;blank
human;human
human;human
human;text
human;human
human;human
human;human
human;human
human;human
human;human
human;urban
human;text
human;human
human;human
human;human
human;human
human;urban
human;human
human;human
human;human
human;nature
human;fauna
human;flora
human;human
human;text
human;human
human;nature
human;text
human;nature
food;food
food;human
food;food
food;food
food;food
food;food
food;food
food;food
food;human
food;human
food;text
food;urban
food;food
food;human
food;human
food;food
food;human
food;nature
food;food
urban;nature
urban;blank
urban;urban
urban;blank
urban;urban
urban;urban
urban;urban
urban;urban
urban;nature
urban;food
urban;urban
urban;urban
urban;urban
urban;urban
nature;nature
nature;nature
nature;nature
nature;flora
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
nature;nature
fauna;fauna
fauna;nature
fauna;fauna
fauna;fauna
fauna;nature
fauna;nature
text;text
text;text
text;human
text;human
text;fauna
text;text
text;flora
text;text
text;text
text;text
text;human
text;flora
text;fauna
text;human
text;flora
text;text
text;text
text;text
text;fauna
urban;urban
urban;urban
urban;nature
urban;urban
urban;urban
urban;urban
urban;urban
urban;urban
